City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
Thompson,CA,55.7435,-97.8558,1635433784,39.36,100,90,6.91
Kavieng,PG,-2.5744,150.7967,1635433481,82.92,77,55,10.74
Albany,US,42.6001,-73.9662,1635433490,50.74,83,78,3.71
George Town,MY,5.4112,100.3354,1635433226,80.53,89,20,6.91
Gorontalo,ID,0.5412,123.0595,1635433898,75.97,95,7,2.46
Sharjah city,AE,25.3573,55.4033,1635433898,85.98,54,0,5.75
Bethel,US,41.3712,-73.414,1635433429,54.1,75,90,4
Bredasdorp,ZA,-34.5322,20.0403,1635433558,68.29,52,0,8.19
Torbay,CA,47.6666,-52.7314,1635433536,40.57,83,100,4
Kumul,CN,42.8,93.45,1635433484,52.21,32,60,3.67
Iqaluit,CA,63.7506,-68.5145,1635433815,32.7,74,89,5.99
Olafsvik,IS,64.8945,-23.7142,1635433784,42.46,79,89,24.38
Vostok,RU,46.4856,135.8833,1635433899,29.68,93,19,3.02
Jackson,US,42.4165,-122.8345,1635433845,52.79,94,20,0
East London,ZA,-33.0153,27.9116,1635433851,70.88,82,100,22.77
Saskylakh,RU,71.9167,114.0833,1635433705,-2.13,98,100,5.64
Port Blair,IN,11.6667,92.75,1635433899,81.46,81,31,7.65
Praia da Vitória,PT,38.7333,-27.0667,1635433899,69.76,72,96,7.72
Biak,ID,-0.9131,122.8766,1635433899,77.54,83,30,1.45
Togul,RU,53.465,85.9128,1635433900,28.56,53,9,3.53
Airai,TL,-8.9266,125.4092,1635433559,63.81,92,95,0.87
Aksarka,RU,66.5606,67.7975,1635433900,24.24,97,100,7.2
Ndola,ZM,-12.9587,28.6366,1635433900,82.04,36,24,12.75
Nikolskoye,RU,59.7035,30.7861,1635433633,46.29,91,100,4.63
Adrar,MR,20.5022,-10.0711,1635433901,85.75,31,100,7.54
Puerto Colombia,CO,10.9878,-74.9547,1635433901,86.09,77,100,6.35
Avera,US,33.194,-82.5271,1635433573,58.51,94,100,13.65
Camacha,PT,33.0833,-16.3333,1635433902,73.53,64,20,9.22
Gisborne,NZ,-38.6533,178.0042,1635433902,62.94,94,100,5.99
Ostrovnoy,RU,68.0531,39.5131,1635433637,21.96,81,73,7.49
Norman Wells,CA,65.282,-126.8329,1635433902,23.14,95,100,4.83
Payakumbuh,ID,-0.2202,100.6308,1635433902,71.58,96,100,2.39
Diu,IN,20.7141,70.9822,1635433903,81.82,61,48,7.05
Coquimbo,CL,-29.9533,-71.3436,1635433307,64.78,72,63,6.82
Jijiga,ET,9.35,42.8,1635433903,69.28,24,3,15.28
Burns Lake,CA,54.2331,-125.7533,1635433903,29.16,95,72,3.36
Port Alfred,ZA,-33.5906,26.891,1635433482,69.51,87,100,14.81
Butaritari,KI,3.0707,172.7902,1635433628,81.99,71,100,8.59
Port Lincoln,AU,-34.7333,135.8667,1635433904,55.49,75,97,19.89
Martapura,ID,-3.4167,114.85,1635433904,77.09,100,20,2.3
La Sarre,CA,48.8002,-79.1996,1635433904,45.28,61,0,5.28
Sabang,ID,5.8933,95.3214,1635433904,82.26,73,69,6.44
Saint Anthony,US,45.0205,-93.218,1635433853,47.89,94,90,1.01
Nome,US,64.5011,-165.4064,1635433554,19.47,74,90,0
Mil'kovo,RU,54.7167,158.6167,1635433905,28.38,92,96,2.89
Fairlie,GB,55.756,-4.8556,1635433905,57.42,92,100,7.47
Eyl,SO,7.9803,49.8164,1635433905,79.48,62,1,17.13
Bonnyville,CA,54.2668,-110.735,1635433905,37.06,47,1,11.34
Noumea,NC,-22.2763,166.4572,1635433906,66.18,82,17,8.93
Carnarvon,AU,-24.8667,113.6333,1635433555,64.47,68,0,23.02
Souillac,MU,-20.5167,57.5167,1635433779,75.36,71,17,5.46
Sai Buri,TH,6.7013,101.6168,1635433906,79.41,84,63,6.64
Okha,RU,53.5739,142.9478,1635433906,34.32,85,57,5.61
Waipawa,NZ,-41.4122,175.5153,1635433907,56.44,97,100,3.2
Hasaki,JP,35.7333,140.8333,1635433907,54,56,92,25.41
Tsimmerbude,RU,54.675,20.1347,1635433907,55.45,85,98,7.47
Mocuba,MZ,-16.8392,36.9856,1635433907,80.19,45,19,13.65
Guangzhou,CN,23.1167,113.25,1635433836,78.75,61,43,2.8
Tonj,SS,7.2737,28.6822,1635433908,82.8,58,74,4.72
Batagay,RU,67.6333,134.6333,1635433908,11.35,94,100,2.42
Dikson,RU,73.5069,80.5464,1635433551,3.7,92,35,7.16
Sørland,NO,67.667,12.6934,1635433908,48.06,86,97,24.96
Cap Malheureux,MU,-19.9842,57.6142,1635433908,75.47,69,2,5.01
Dul'durga,RU,50.6761,113.5931,1635433909,36.7,70,1,4.52
Shingū,JP,33.7333,135.9833,1635433909,54.32,81,0,7.92
Pisco,PE,-13.7,-76.2167,1635433909,65.01,82,20,8.05
Pauini,BR,-7.7136,-66.9764,1635433909,81.57,72,100,0.6
Guiratinga,BR,-16.3494,-53.7583,1635433910,91.27,41,96,5.97
Fortuna,US,40.5982,-124.1573,1635433782,57.47,64,90,1.99
Ariquemes,BR,-9.9133,-63.0408,1635433910,93.58,44,48,3.49
Tessalit,ML,20.1986,1.0114,1635433910,95.9,12,95,14.27
Deūlgaon Rāja,IN,20.0167,76.0333,1635433910,69.73,57,10,8.66
Ambon City,ID,-3.6954,128.1814,1635433910,82.18,76,73,2.08
Ilulissat,GL,69.2167,-51.1,1635433703,17.62,57,20,4.61
Acaraú,BR,-2.8856,-40.12,1635433629,90.59,50,12,16.91
Husavik,IS,66.0449,-17.3389,1635433911,37.29,85,89,2.46
Hollins,US,37.3413,-79.9431,1635433911,61.18,87,90,0
Kruisfontein,ZA,-34.0033,24.7314,1635433911,66.88,81,100,11.21
Los Llanos de Aridane,ES,28.6585,-17.9182,1635433488,71.35,74,40,5.01
Aykhal,RU,66,111.5,1635433912,8.44,93,98,18.63
Liku,ID,-0.7275,119.8922,1635433912,76.15,93,60,2.04
Pierre,US,44.3683,-100.351,1635433632,49.86,74,1,7
Talnakh,RU,69.4865,88.3972,1635433485,-9.36,97,92,8.95
Buala,SB,-8.145,159.5921,1635433912,81.05,80,80,5.5
Bathsheba,BB,13.2167,-59.5167,1635433637,86.61,66,75,13.8
Jalu,LY,29.0331,21.5482,1635433912,83.61,29,78,4.07
Makat,KZ,47.6469,53.3463,1635433913,41.05,57,57,10.13
Puerto Ayora,EC,-0.7393,-90.3518,1635433555,73.36,91,98,1.99
Pacifica,US,37.6138,-122.4869,1635433911,64,88,1,1.99
Half Moon Bay,US,37.4636,-122.4286,1635433653,64.31,85,1,0
Kawalu,ID,-7.3817,108.2082,1635433913,73.2,96,100,1.9
Lebu,CL,-37.6167,-73.65,1635433550,58.46,73,2,13.67
Porangatu,BR,-13.4408,-49.1486,1635433913,96.33,26,11,5.99
Port Said,EG,31.2565,32.2841,1635433913,76.19,78,75,20.33
Otterup,DK,55.5153,10.3976,1635433914,60.4,77,23,14.03
Camopi,GF,3.1655,-52.3158,1635433914,93.2,37,95,2.73
Esperance,AU,-33.8667,121.9,1635433701,54.1,68,97,9.24
Angoche,MZ,-16.2325,39.9086,1635433914,77.31,68,7,17.25
Ugoofaaru,MV,5.6667,73,1635433914,81.5,74,73,11.1
Hithadhoo,MV,-0.6,73.0833,1635433478,83.05,75,72,17.78
Chapleau,CA,47.8405,-83.4034,1635433915,45.16,56,100,6.31
Khatanga,RU,71.9667,102.5,1635433564,-4.32,99,100,4.59
Jasper,US,37.2001,-94.3502,1635433915,51.53,91,90,3
Putina,PE,-15.4667,-69.4333,1635433915,50.36,51,30,4.07
Lyuban',BY,52.7985,28.0048,1635433915,52.18,93,100,6.29
Fairbanks,US,64.8378,-147.7164,1635433204,24.76,89,90,0
Banes,CU,20.9625,-75.7186,1635433916,86.61,63,100,4.27
Anshun,CN,26.25,105.9333,1635433916,49.71,95,100,5.97
Port-Cartier,CA,50.0334,-66.8654,1635433916,46.4,46,10,6.6
Leiyang,CN,26.4024,112.8591,1635433916,65.88,79,100,4.38
Nicoya,CR,10.1483,-85.452,1635433704,80.15,77,22,1.86
Geraldton,AU,-28.7667,114.6,1635433917,57.61,62,2,16.11
Constitución,CL,-35.3333,-72.4167,1635433703,67.19,54,1,11.74
Katsuura,JP,35.1333,140.3,1635433780,63.19,63,46,22.62
Pringsewu,ID,-5.3582,104.9744,1635433917,73.13,95,100,1.39
Borogontsy,RU,62.6683,131.1683,1635433917,22.08,88,80,9.33
Hualmay,PE,-11.0964,-77.6139,1635433482,67.53,74,60,6.64
Castro,BR,-24.7911,-50.0119,1635433918,71.11,72,100,9.22
Ancud,CL,-41.8697,-73.8203,1635433849,58.53,75,60,3.76
Nagato,JP,34.3833,131.2,1635433918,59.2,63,40,18.63
Pevek,RU,69.7008,170.3133,1635433918,3.27,94,99,1.25
Ucluelet,CA,48.9329,-125.5528,1635433547,47.08,92,100,10.27
Zliten,LY,32.4674,14.5687,1635433918,74.59,60,12,22.46
Mossamedes,AO,-15.1961,12.1522,1635433857,73.98,60,17,17.02
Mbanza-Ngungu,CD,-5.25,14.8667,1635433919,81.86,58,100,4.23
Khovd,MN,48.0056,91.6419,1635433919,38.46,46,71,4.94
Havre-St-Pierre,CA,50.2334,-63.5986,1635433919,45.68,49,0,10.25
Roquetas de Mar,ES,36.7642,-2.6148,1635433919,71.6,69,92,4.5
Sabha,LY,27.0377,14.4283,1635433920,85.42,21,56,11.36
Mnogovershinnyy,RU,53.9353,139.9242,1635433920,28.36,90,10,4.41
Vila Franca do Campo,PT,37.7167,-25.4333,1635433920,70.21,74,94,8.41
Vardø,NO,70.3705,31.1107,1635433785,33.78,75,0,31.07
Nioro,GM,13.35,-15.75,1635433921,81.18,74,100,2.89
Saint-Joseph,RE,-21.3667,55.6167,1635433921,75.58,73,5,4.76
Port Augusta,AU,-32.5,137.7667,1635433922,60.71,70,11,14.45
Upernavik,GL,72.7868,-56.1549,1635433706,19.06,65,34,5.64
Darhan,MN,49.4867,105.9228,1635433922,35.87,70,100,9.73
Medak,IN,18.0333,78.2667,1635433923,74.3,69,100,7.18
Mookane,BW,-23.688,26.6595,1635433923,81.28,32,94,11.83
Rahā,IN,26.2333,92.5167,1635433923,72.1,87,0,0.69
Acapulco de Juárez,MX,16.8634,-99.8901,1635433190,80.85,80,69,2.75
Aligarh,IN,27.8833,78.0833,1635433867,72.28,39,0,2.48
Qaanaaq,GL,77.484,-69.3632,1635433559,21.94,93,100,7.99
Chumphon,TH,10.3333,98.8333,1635433924,72.5,95,38,3
Fukuechō,JP,32.6881,128.8419,1635433705,68.38,60,69,22.7
Marabu,MY,4.4148,114.0089,1635433924,77.02,92,100,1.07
Mount Isa,AU,-20.7333,139.5,1635433399,80.37,57,90,23.02
São Paulo de Olivença,BR,-3.3783,-68.8725,1635433875,78.33,84,99,2.26
College,US,64.8569,-147.8028,1635433925,24.75,89,90,0
Yulara,AU,-25.2406,130.9889,1635433635,76.84,13,0,16.11
Comodoro Rivadavia,AR,-45.8667,-67.5,1635433925,76.86,15,0,13.8
Hwange,ZW,-18.3693,26.5019,1635433925,93.51,22,40,9.6
Caravelas,BR,-17.7125,-39.2481,1635433926,82.63,52,7,10.45
Poum,NC,-20.2333,164.0167,1635433627,75.13,84,11,8.21
Rio Branco do Sul,BR,-25.19,-49.3142,1635433926,68.23,98,100,2.66
Beloha,MG,-25.1667,45.05,1635433641,66.96,50,4,15.43
Colquechaca,BO,-18.6667,-66.0167,1635433926,43.07,42,6,6.8
Salinópolis,BR,-0.6136,-47.3561,1635433927,81.91,76,23,7.9
Xapuri,BR,-10.6517,-68.5044,1635433927,95.13,40,93,1.97
Burgeo,CA,47.6167,-57.6152,1635433927,43.25,68,100,25.72
Crotone,IT,39.0851,17.1178,1635433643,61.93,69,54,11.59
Acarí,PE,-15.4311,-74.6158,1635433927,78.28,51,53,8.79
Nanortalik,GL,60.1432,-45.2371,1635433628,36.68,65,69,5.17
Santa María del Oro,MX,25.9333,-105.3667,1635433928,62.69,30,0,2.28
Faanui,PF,-16.4833,-151.75,1635433630,79.79,78,38,9.93
Khandyga,RU,62.6667,135.6,1635433928,28.99,91,100,9.53
Obigarm,TJ,38.7173,69.7088,1635433928,45.84,71,100,2.66
Nizhniy Kuranakh,RU,58.8353,125.4869,1635433928,26.47,72,100,10.4
San Vicente,AR,-26.6167,-54.1333,1635433707,86.65,35,4,4.23
Riberalta,BO,-10.9833,-66.1,1635433929,95.9,39,81,2.84
Srednekolymsk,RU,67.45,153.6833,1635433929,-9.56,99,6,2.13
Qaqortoq,GL,60.7167,-46.0333,1635433929,30.7,72,55,4.34
Champerico,GT,14.3,-91.9167,1635433929,88.75,79,38,3.87
Weslaco,US,26.1595,-97.9908,1635433856,74.98,43,75,8.05
Kieta,PG,-6.2167,155.6333,1635433929,80.64,81,68,5.95
Lorengau,PG,-2.0226,147.2712,1635433701,81.46,79,49,4.59
Korhogo,CI,9.45,-5.6333,1635433930,90.86,42,47,4.65
Kahului,US,20.8947,-156.47,1635433858,75.85,84,1,5.75
Leningradskiy,RU,69.3833,178.4167,1635433487,6.3,91,100,12.95
Llanes,ES,43.4198,-4.7549,1635433930,71.28,51,100,3.96
Cape Town,ZA,-33.9258,18.4232,1635433376,73.11,69,17,8.19
Muzhi,RU,65.3667,64.6667,1635433930,27.43,98,100,3.33
Agogo,GH,6.8,-1.0819,1635433930,81.23,74,60,2.84
Ribas do Rio Pardo,BR,-20.4431,-53.7592,1635433931,88.43,49,23,8.55
Atuona,PF,-9.8,-139.0333,1635433485,77.81,71,57,16.84
Chenzhou,CN,25.8,113.0333,1635433931,64.6,85,98,2.39
Maniitsoq,GL,65.4167,-52.9,1635433931,31.95,52,97,4.43
Narsaq,GL,60.9167,-46.05,1635433392,30.42,64,40,4.41
Port Moresby,PG,-9.4431,147.1797,1635433857,76.73,88,81,2.91
Leshukonskoye,RU,64.8989,45.7622,1635433932,23.63,86,12,8.48
Hobyo,SO,5.3505,48.5268,1635433932,81.5,72,52,9.37
Qeshm,IR,26.9581,56.2719,1635433932,82.27,65,67,9.46
Vaitape,PF,-16.5167,-151.75,1635433932,79.74,78,35,9.93
Wanning,CN,18.8003,110.3967,1635433933,75.88,94,100,8.3
Saldanha,ZA,-33.0117,17.9442,1635433933,64.78,76,2,9.66
Auki,SB,-8.7676,160.7034,1635433933,77.88,87,21,3.91
São João da Barra,BR,-21.6403,-41.0511,1635433926,84.29,76,89,10.85
Nemuro,JP,43.3236,145.575,1635433933,51.91,69,87,10.13
Bilma,NE,18.6853,12.9164,1635433933,96.49,9,3,3.78
Honningsvåg,NO,70.9821,25.9704,1635433934,27.93,84,100,37.18
Ormara,PK,25.2088,64.6357,1635433934,80.1,62,0,8.55
Vao,NC,-22.6667,167.4833,1635433630,70.56,70,14,12.06
Lookan,PH,5.037,120.1027,1635433934,83.1,72,100,5.12
Dalbandin,PK,28.8947,64.4101,1635433935,71.89,13,1,6.51
Banda Aceh,ID,5.5577,95.3222,1635433935,79.83,83,95,5.7
Vila Velha,BR,-20.3297,-40.2925,1635433541,80.55,65,40,10.36
Safranbolu,TR,41.2508,32.6942,1635433935,48.83,85,14,4.14
Xinmin,CN,41.9908,122.8253,1635433935,53.11,40,53,4.97
Nantucket,US,41.2835,-70.0995,1635433855,53.71,79,90,18.41
Tarakan,ID,3.3,117.6333,1635433936,81.68,76,97,3.65
Saryg-Sep,RU,51.5,95.6,1635433936,36.7,65,100,1.14
Kumbo,CM,6.2,10.6667,1635433936,68.85,76,52,4.45
Ribeira Grande,PT,38.5167,-28.7,1635433636,70.2,68,75,5.75
Teacapan,MX,22.55,-105.75,1635433936,77.77,79,0,4.05
Caniço,PT,32.6333,-16.85,1635433937,77,76,40,8.05
Zhigansk,RU,66.7697,123.3711,1635433937,19.47,92,100,14.76
Kapit,MY,2.0167,112.9333,1635433937,74.01,99,100,1.16
Guerrero Negro,MX,27.9769,-114.0611,1635433563,69.39,48,0,2.1
Zabaykal'sk,RU,49.6333,117.3167,1635433938,37.58,57,3,2.53
Paraíso,CR,9.8383,-83.8656,1635433938,78.89,49,55,1.45
Bend,US,44.0582,-121.3153,1635433575,55.26,84,1,3
Saran,FR,47.9501,1.876,1635433938,65.82,55,0,12.66
Chake Chake,TZ,-5.2459,39.7666,1635433939,80.08,68,70,8.5
Nichinan,JP,31.6,131.3667,1635433939,55.76,72,1,13.53
Jiazi,CN,22.8779,116.067,1635433939,73.11,82,33,13.58
Sārangarh,IN,21.6,83.0833,1635433939,73.87,65,25,1.39
Hoshcha,UA,50.6003,26.6744,1635433940,52.05,80,99,5.91
Tubualá,PA,9.5167,-79.0333,1635433940,84.33,79,100,5.44
North Platte,US,41.1239,-100.7654,1635433940,51.69,45,1,14
Padilla,CO,3.2204,-76.3139,1635433940,80.89,68,59,3.09
Kendari,ID,-3.945,122.4989,1635433940,77.23,88,100,0.36
Morón,AR,-34.6534,-58.6198,1635433941,96.03,32,95,5.99
Hofn,IS,64.2539,-15.2082,1635433774,46.42,87,90,18.41
Tasiilaq,GL,65.6145,-37.6368,1635433392,32.16,77,100,9.37
Vändra,EE,58.6481,25.0361,1635433941,52.18,98,100,9.04
Jati,PK,24.3539,68.2671,1635433941,83.68,26,0,7.58
San Cristobal,VE,7.7669,-72.225,1635433853,77.18,66,72,6.08
Cockburn Town,TC,21.4612,-71.1419,1635433942,82.56,70,94,5.82
Dongsheng,CN,39.8161,109.9776,1635433942,43.34,75,39,6.85
Bahía Blanca,AR,-38.7196,-62.2724,1635433808,95.56,13,100,19.8
Taoudenni,ML,22.6783,-3.9836,1635433942,92.97,23,71,2.89
Nara,JP,34.6851,135.8049,1635433942,61.88,48,0,5.44
Chui,UY,-33.6971,-53.4616,1635433557,79.84,50,0,9.24
Bhawānipatna,IN,19.9,83.1667,1635433942,73.58,80,80,1.72
Passo de Camaragibe,BR,-9.2368,-35.4901,1635433943,87.35,55,33,10.33
Nizwá,OM,22.9333,57.5333,1635433943,78.93,53,99,5.39
Ixtapa,MX,20.7,-105.2,1635433943,78.22,73,1,5.75
Ternate,ID,0.8,127.4,1635433553,81.61,77,5,2.98
Homer,US,59.6425,-151.5483,1635433856,35.8,96,75,5.75
Batagay-Alyta,RU,67.8006,130.4114,1635433943,4.86,91,100,3.47
Rio Grande,BR,-32.035,-52.0986,1635433944,84.31,66,0,10.94
Lata,PT,40.1629,-8.3327,1635433944,72.36,36,100,11.79
Belmonte,BR,-15.8631,-38.8828,1635433944,81.1,68,11,12.8
Gizo Government Station,SB,-8.103,156.8419,1635433945,82.74,74,21,9.48
Yumen,CN,40.2833,97.2,1635433854,43.93,34,3,9.46
Seymchan,RU,62.8833,152.4333,1635433945,4.24,90,75,3.18
Camaná,PE,-16.6228,-72.7111,1635433945,69.76,70,19,8.81
Inuvik,CA,68.3499,-133.7218,1635433945,22.96,94,100,3.74
Torma,EE,58.8128,26.7383,1635433945,51.55,95,100,6.8
Sinnamary,GF,5.3833,-52.95,1635433946,85.62,64,96,7.31
Ossora,RU,59.2353,163.0719,1635433929,24.6,95,100,6.17
Barra de Tecoanapa,MX,16.5167,-98.75,1635433946,81.39,79,25,1.34
Grand-Santi,GF,4.25,-54.3833,1635433946,95.14,37,29,2.95
Shihezi,CN,44.3,86.0333,1635433930,51.66,36,56,2.15
Kalanguy,RU,51.0167,116.5167,1635433946,33.71,71,7,3.47
Øksfjord,NO,70.2396,22.3479,1635433947,37.58,90,100,15.21
Gannan,CN,47.9147,123.5031,1635433947,40.78,51,6,7.45
Yerbogachën,RU,61.2767,108.0108,1635433948,20.44,67,78,16.08
Mayo,US,38.8876,-76.5119,1635433948,64.11,78,1,4
Rawson,AR,-43.3002,-65.1023,1635433699,68.54,36,1,12.3
Layou,VC,13.2,-61.2667,1635433948,80.98,65,98,9.51
Vestmannaeyjar,IS,63.4427,-20.2734,1635433638,47.39,76,40,12.66
Yavaros,MX,26.7,-109.5167,1635433949,74.66,34,0,3.4
Kutum,SD,14.2,24.6667,1635433949,86.38,12,4,10.94
Manokwari,ID,-0.8667,134.0833,1635433949,78.89,81,98,1.3
Maceió,BR,-9.6658,-35.7353,1635433923,87.24,62,40,13.8
Pachino,IT,36.7186,15.0907,1635433950,66.24,77,100,29.06
Laas,IT,46.6166,10.7002,1635433706,59.74,49,6,4.43
Muhororo,UG,0.9381,30.7594,1635433950,72.05,78,67,1.3
Kavaratti,IN,10.5669,72.642,1635433950,80.35,78,100,4.27
Izumo,JP,35.3667,132.7667,1635433950,55.51,69,7,9.31
La Libertad,EC,-2.2333,-80.9,1635433951,73.06,78,90,8.05
Abu Dhabi,AE,24.4667,54.3667,1635433850,86.11,62,0,8.05
Ritchie,ZA,-29.038,24.6028,1635433951,75.76,46,100,14.7
Buchanan,LR,5.8808,-10.0467,1635433951,89.56,76,79,5.99
Yar-Sale,RU,66.8333,70.8333,1635433951,21.13,95,100,19.22
Durban,ZA,-29.8579,31.0292,1635433952,70.02,82,100,8.01
Yangi Marg`ilon,UZ,40.4272,71.7189,1635433855,52.52,54,96,6.91
Gambo,CF,4.6482,22.2633,1635433952,84.54,69,100,1.79
Longyearbyen,SJ,78.2186,15.6401,1635433710,17.44,79,0,12.66
Arroyo de la Encomienda,ES,41.6096,-4.7969,1635433952,68.18,38,0,12.66
Sainte-Suzanne,RE,-20.9061,55.6089,1635433952,77.22,82,0,6.91
Kiryat Gat,IL,31.61,34.7642,1635433558,82.4,43,79,11.72
Mt. Pleasant,US,32.7941,-79.8626,1635433734,68,90,1,0
Sola,VU,-13.8833,167.55,1635433782,80.76,77,27,14.63
Xichang,CN,27.8964,102.2634,1635433953,56.86,82,83,2.98
Iralaya,HN,15,-83.2333,1635433953,87.89,77,89,9.35
Southbridge,US,42.0751,-72.0334,1635433953,51.26,79,29,1.01
Nuevitas,CU,21.5453,-77.2644,1635433953,85.44,70,84,3.89
Caloundra,AU,-26.8,153.1333,1635433954,74.82,85,54,1.01
Inhambane,MZ,-23.865,35.3833,1635433858,72.57,57,98,13.13
